pl_name,hostname,pl_orbsmax,pl_rade,pl_orbeccen,pl_orbincl,pl_orblper,st_rad,hb,Temp,st_mass,Count Rate
K2-91 b,K2-91,0.0164,1.1,0.09,88.82,-23.36,0.28,0.06074890892,2901241.731,0.29,0.006528419586
KELT-11 b,KELT-11,0.06246,15.132,0.0007,85.3,116,2.69,0.08766590656,2901241.731,1.44,0.5026599057
KELT-24 b,KELT-24,0.06969,14.258,0.077,89.17,55,1.51,0.09188635543,5802483.463,1.46,0.6012458746
KOI-7368 b,KOI-7368,0.0678,2.22,0,88.28,90,0.87,0.09002290834,5802483.463,0.88,0.9213219708
KOI-7913 b,KOI-7913 A,0.1504,2.34,0,89.59,90,0.79,0.09209414252,5802483.463,0.76,0.3088658501
Kepler-138 d,Kepler-138,0.1288,1.51,0.01,89.04,250,0.54,0.06210998838,2901241.731,0.54,0.3350020136
Kepler-138 b,Kepler-138,0.0753,0.64,0.02,88.67,40,0.54,0.06210998838,2901241.731,0.54,0.3350020136
Kepler-138 c,Kepler-138,0.0913,1.51,0.017,89.02,34,0.54,0.06210998838,2901241.731,0.54,0.3350020136
Kepler-1582 b,Kepler-1582,0.0285,1.49,0,89.38,90,0.3,0.0648209747,2901241.731,0.28,0.06015952144
Kepler-1643 b,Kepler-1643,0.0566,2.32,0,87.708,90,0.85,0.09098501845,5802483.463,0.84,0.1211816872
Kepler-1649 c,Kepler-1649,0.0649,1.06,0,89.339,90,0.23,0.06764518893,2901241.731,0.2,0.001032455392
Kepler-1649 b,Kepler-1649,0.04493,1.017,0,89.15,90,0.23,0.06764518893,2901241.731,0.2,0.001032455392
Kepler-1651 b,Kepler-1651,0.06178,1.84,0.13,85.945,90,0.5,0.06058957758,2901241.731,0.52,0.4003448161
Kepler-1928 b,Kepler-1928,0.194,1.992,0.43,88.92,88,0.92,0.08662298793,5802483.463,1.01,0.09175716421
Kepler-289 b,Kepler-289,0.21,2.15,0,89.59,90,1,0.08730381053,5802483.463,1.08,0.006383771752
Kepler-289 d,Kepler-289,0.33,2.68,0,89.73,90,1,0.08730381053,5802483.463,1.08,0.006383771752
Kepler-289 c,Kepler-289,0.51,11.59,0,89.794,90,1,0.08730381053,5802483.463,1.08,0.006383771752
Kepler-37 e,Kepler-37,0.246,0.37,0,89.95,90,0.77,0.05839995003,2901241.731,0.87,0.02063338322
Kepler-37 d,Kepler-37,0.21105,1.94,0,89.7575,90,0.77,0.05839995003,2901241.731,0.87,0.02063338322
Kepler-37 c,Kepler-37,0.1391,0.75,0,89.602,90,0.77,0.05839995003,2901241.731,0.87,0.02063338322
Kepler-408 b,Kepler-408,0.0366,0.82,0,88.24,90,1.23,0.06725535141,2901241.731,1.08,0.03079267796
Kepler-409 b,Kepler-409,0.31874,1.19,0,89.752,90,0.89,0.06082379059,2901241.731,0.92,0.0986360813
Kepler-42 d,Kepler-42,0.0154,0.57,0,88.992,90,0.17,0.0728656445,2901241.731,0.13,0.003287020678
Kepler-42 c,Kepler-42,0.006,0.73,0,80.44,90,0.17,0.0728656445,2901241.731,0.13,0.003287020678
Kepler-42 b,Kepler-42,0.0116,0.78,0,86.33,90,0.17,0.0728656445,2901241.731,0.13,0.003287020678
Kepler-444 f,Kepler-444,0.0811,0.741,0.29,87.96,18.08,0.75,0.06159477676,2901241.731,0.76,0.05487669897
Kepler-444 d,Kepler-444,0.06,0.53,0.18,88.16,9.59,0.75,0.06159477676,2901241.731,0.76,0.05487669897
Kepler-444 b,Kepler-444,0.04178,0.403,0.16,88,3.58,0.75,0.06159477676,2901241.731,0.76,0.05487669897
Kepler-444 c,Kepler-444,0.04881,0.497,0.31,88.2,35.496,0.75,0.06159477676,2901241.731,0.76,0.05487669897
Kepler-444 e,Kepler-444,0.0696,0.546,0.1,89.13,-4.589,0.75,0.06159477676,2901241.731,0.76,0.05487669897
Kepler-45 b,Kepler-45,0.03,10.76,0.11,87,230,0.55,0.08758465774,5802483.463,0.59,0.01291111942
Kepler-462 b,Kepler-462,0.441,4.12,0.12,80.61,57,1.57,0.08997199847,5802483.463,1.59,0.01588847587
Kepler-462 c,Kepler-462,0.801,3,0.042,83.61,51.9,1.57,0.08997199847,5802483.463,1.59,0.01588847587
Kepler-63 b,Kepler-63,0.08,6.11,0.45,87.806,-23.36,0.9,0.08696298923,5802483.463,0.98,0.1070719426
Kepler-74 b,Kepler-74,0.0781,10.76,0,87.46,90,1.12,0.08833311058,5802483.463,1.18,0.003064327351
Kepler-93 b,Kepler-93,0.98,1.569,0,89.18,90,0.98,0.05802417425,2901241.731,1.09,0.02883275323
Kepler-970 b,Kepler-970,0.139,2.609,0.34,88.74,117,0.71,0.06438557433,2901241.731,0.67,0.01765160694
L 168-9 b,L 168-9,0.02091,1.39,0.21,85.5,84.99,0.6,0.06083778895,2901241.731,0.62,0.4008268312
L 98-59 b,L 98-59,0.02191,0.85,0.103,87.71,192,0.3,0.06626719505,2901241.731,0.27,0.131650973
L 98-59 c,L 98-59,0.0304,1.385,0.103,88.11,261,0.3,0.06626719505,2901241.731,0.27,0.131650973
L 98-59 d,L 98-59,0.0486,1.521,0.074,88.449,180,0.3,0.06626719505,2901241.731,0.27,0.131650973
LHS 1140 c,LHS 1140,0.02734,1.169,0.274,89.913,90,0.21,0.06605665369,2901241.731,0.19,0.06433482672
LHS 1140 b,LHS 1140,0.0957,1.635,0.096,89.877,85.37,0.21,0.06605665369,2901241.731,0.19,0.06433482672
LHS 1678 c,LHS 1678,0.0331,0.982,0.22,89.09,-5.729,0.33,0.06095128584,2901241.731,0.34,0.04056891615
LHS 1678 b,LHS 1678,0.01251,0.696,0.25,87.55,6,0.33,0.06095128584,2901241.731,0.34,0.04056891615
LHS 1815 b,LHS 1815,0.0404,1.088,0,88.125,90,0.5,0.06210998838,2901241.731,0.5,0.100034713
LP 714-47 b,LP 714-47,0.0417,4.7,0.04,87.3,219,0.58,0.06144538234,2901241.731,0.59,0.06294769133
LTT 3780 c,LTT 3780,0.07673,2.3,0.06,89.18,124,0.37,0.05910365659,2901241.731,0.4,0.04239614275
LTT 3780 b,LTT 3780,0.01211,1.332,0,87.1,90,0.37,0.05910365659,2901241.731,0.4,0.04239614275
LTT 9779 b,LTT 9779,0.01679,4.72,0,76.39,90,0.95,0.07048857269,2901241.731,0.77,0.01021539233
NGTS-9 b,NGTS-9,0.058,11.994,0.06,84.1,90,1.38,0.09171071475,5802483.463,1.34,0.01209637522
Qatar-3 b,Qatar-3,0.03783,12.285,0,86.8,90,1.27,0.09458011124,5802483.463,1.15,0.02124264476
Qatar-4 b,Qatar-4,0.02803,12.722,0,87.5,90,0.85,0.08812663184,5802483.463,0.9,0.03822731406
Qatar-5 b,Qatar-5,0.04127,12.408,0,88.74,90,1.08,0.0603570083,2901241.731,1.13,0.01066041879
TOI-1062 b,TOI-1062,0.052,2.265,0.177,85.913,117,0.84,0.05779375745,2901241.731,0.94,0.03181586588
TOI-1064 c,TOI-1064,0.09429,2.651,0.088,88.455,25,0.73,0.0610605169,2901241.731,0.75,0.04875557045
TOI-1064 b,TOI-1064,0.06152,2.587,0.047,87.709,120,0.73,0.0610605169,2901241.731,0.75,0.04875557045
TOI-1130 b,TOI-1130,0.04394,3.65,0.22,87.98,44.71,0.69,0.06267986652,2901241.731,0.68,0.004110947533
TOI-1130 c,TOI-1130,0.07098,16.814,0.047,87.43,-28,0.69,0.06267986652,2901241.731,0.68,0.004110947533
TOI-1136 c,TOI-1136,0.06676,2.879,0.117,89.42,-113,0.97,0.08841298065,5802483.463,1.02,0.3328589707
TOI-1136 e,TOI-1136,0.139,2.639,0.057,89.31,-66,0.97,0.08841298065,5802483.463,1.02,0.3328589707
TOI-1136 d,TOI-1136,0.106,4.627,0.016,89.41,118,0.97,0.08841298065,5802483.463,1.02,0.3328589707
TOI-1136 g,TOI-1136,0.2283,2.53,0.036,89.65,-87,0.97,0.08841298065,5802483.463,1.02,0.3328589707
TOI-1136 b,TOI-1136,0.0509,1.9,0.031,86.44,45,0.97,0.08841298065,5802483.463,1.02,0.3328589707
TOI-1136 f,TOI-1136,0.1739,3.88,0.012,89.38,140,0.97,0.08841298065,5802483.463,1.02,0.3328589707
TOI-1201 b,TOI-1201,0.0287,2.415,0,88.11,90,0.51,0.06210998838,2901241.731,0.51,0.07046121214
TOI-122 b,TOI-122,0.0392,2.72,0,88.4,90,0.33,0.06456478075,2901241.731,0.31,0.006392909046
TOI-1231 b,TOI-1231,0.1288,3.65,0.087,89.73,176,0.48,0.06210998838,2901241.731,0.48,0.09446508363
TOI-1260 d,TOI-1260,0.1116,3.12,0,89.14,0,0.67,0.06153382962,2901241.731,0.68,0.01738621237
TOI-1260 b,TOI-1260,0.0367,2.41,0,89.03,0,0.67,0.06153382962,2901241.731,0.68,0.01738621237
TOI-1260 c,TOI-1260,0.0657,2.76,0,87.97,0,0.67,0.06153382962,2901241.731,0.68,0.01738621237
TOI-1268 b,TOI-1268,0.0711,9.1,0.105,88.63,-40.6,0.92,0.06046087831,2901241.731,0.96,0.1034906672
TOI-1278 b,TOI-1278,0.095,12.218,0.013,88.3,246,0.57,0.06423075285,2901241.731,0.54,0.02205494205
TOI-1411 b,TOI-1411,0.023,1.36,0,87.55,90,0.66,0.06653710577,2901241.731,0.59,0.1974491252
TOI-1442 b,TOI-1442,0.0071,1.17,0,86.157,90,0.31,0.06472983477,2901241.731,0.29,0.01068241496
TOI-1468 b,TOI-1468,0.02078,1.28,0,88.47,90,0.34,0.06210998838,2901241.731,0.34,0.04364593063
TOI-1468 c,TOI-1468,0.08489,2.064,0,89.335,90,0.34,0.06210998838,2901241.731,0.34,0.04364593063
TOI-1634 b,TOI-1634,0.01545,1.79,0.16,88.2,90,0.45,0.05806275579,2901241.731,0.5,0.03534098139
TOI-1685 b,TOI-1685,0.011557,1.7,0,84.74,90,0.49,0.06210998838,2901241.731,0.49,0.8445693235
TOI-1693 b,TOI-1693,0.0226,1.41,0,88.373,90,0.46,0.05966873271,2901241.731,0.49,0.08870253042
TOI-1695 b,TOI-1695,0.033548,1.9,0.097,87.2,90,0.52,0.06286844793,2901241.731,0.51,0.04708505696
TOI-1710 b,TOI-1710,0.16,5.34,0.16,89.6,17,0.97,0.061710878,2901241.731,0.98,0.03990674525
TOI-1728 b,TOI-1728,0.0391,5.05,0.057,88.31,45,0.62,0.06028017378,2901241.731,0.65,0.03006551699
TOI-1749 d,TOI-1749,0.0707,2.52,0.062,88.53,40,0.55,0.08829474511,5802483.463,0.58,0.1247778721
TOI-1749 b,TOI-1749,0.0291,1.39,0.14,86.4,-50,0.55,0.08829474511,5802483.463,0.58,0.1247778721
TOI-1749 c,TOI-1749,0.0443,2.12,0.019,88.8,-74,0.55,0.08829474511,5802483.463,0.58,0.1247778721
TOI-178 d,TOI-178,0.0592,2.572,0,88.58,90,0.65,0.06210998838,2901241.731,0.65,0.0437517115
TOI-178 b,TOI-178,0.02607,1.152,0,88.8,90,0.65,0.06210998838,2901241.731,0.65,0.0437517115
TOI-178 c,TOI-178,0.037,1.669,0,88.4,90,0.65,0.06210998838,2901241.731,0.65,0.0437517115
TOI-178 e,TOI-178,0.0783,2.207,0,88.71,90,0.65,0.06210998838,2901241.731,0.65,0.0437517115
TOI-178 f,TOI-178,0.1039,2.287,0,88.723,90,0.65,0.06210998838,2901241.731,0.65,0.0437517115
TOI-178 g,TOI-178,0.1275,2.87,0,88.823,90,0.65,0.06210998838,2901241.731,0.65,0.0437517115
TOI-1807 b,TOI-1807,0.00812,1.258,0,77.7,90,0.68,0.08642958617,5802483.463,0.75,9.072346994
TOI-1860 b,TOI-1860,0.0204,1.31,0,81.497,90,0.94,0.08834808488,5802483.463,0.99,12.60518616
TOI-201 b,TOI-201,0.3,11.299,0.28,88.557,82,1.32,0.09049581329,5802483.463,1.32,0.3574383515
TOI-2046 b,TOI-2046,0.0267,16.141,0,83.6,90,1.21,0.09331548405,5802483.463,1.13,0.1609433459
TOI-2048 b,TOI-2048,0.121,2.61,0.13,89.41,96.37,0.79,0.06019786028,2901241.731,0.83,0.1306579712
TOI-206 b,TOI-206,0.0112,1.3,0,84.496,90,0.35,0.06210998838,2901241.731,0.35,0.007052009388
TOI-2076 b,TOI-2076,0.0682,2.518,0,88.9,90,0.77,0.08788757753,5802483.463,0.82,1.435098222
TOI-2076 c,TOI-2076,0.1093,3.497,0,89.84,90,0.77,0.08788757753,5802483.463,0.82,1.435098222
TOI-2076 d,TOI-2076,0.1539,3.232,0,88.607,90,0.77,0.08788757753,5802483.463,0.82,1.435098222
TOI-2136 b,TOI-2136,0.057,2.19,0,89.4,90,0.34,0.06210998838,2901241.731,0.34,0.03375550253
TOI-2152 A b,TOI-2152,0.05064,14.359,0.057,86.42,96,1.61,0.09286841443,5802483.463,1.52,0.1294457795
TOI-220 b,TOI-220,0.08911,3.03,0.032,87.88,248,0.86,0.06397674061,2901241.731,0.82,0.2690866038
TOI-2257 b,TOI-2257,0.145,2.194,0.496,89.786,-101.674,0.31,0.05969396166,2901241.731,0.33,0.0106977027
TOI-2260 b,TOI-2260,0.0097,1.62,0,69.695,90,0.94,0.06010435692,2901241.731,0.99,0.2091749596
TOI-2285 b,TOI-2285,0.1363,1.74,0.3,89.66,56,0.46,0.06296874527,2901241.731,0.45,0.02143742209
TOI-237 b,TOI-237,0.0341,1.44,0,89.5,90,0.21,0.06822424598,2901241.731,0.18,0.00751887164
TOI-2427 b,TOI-2427,0.0202,1.8,0,82.519,90,0.65,0.06271527771,2901241.731,0.64,0.3058860086
TOI-251 b,TOI-251,0.05741,2.74,0,87.52,90,0.88,0.08355294178,5802483.463,1.04,0.6190888558
TOI-257 b,TOI-257,0.1528,7.163,0,87.91,90,1.87,0.0734437507,2901241.731,1.41,0.1229117492
TOI-270 b,TOI-270,0.03197,1.206,0.034,89.39,0,0.38,0.06110127061,2901241.731,0.39,0.06948851372
